rep_seed,true_p,candidate_p,val_avg_loglik,val_alpha_mse
40001,4,3,-0.8608765602111816,0.08956296741962433
40001,4,4,-0.8206082582473755,0.10507232695817947
40001,4,5,-0.7609742283821106,0.09336885064840317
40001,4,6,-0.7970799207687378,0.09570438414812088
40001,4,8,-0.7521159648895264,0.09852202236652374
40001,4,10,-0.7281026244163513,0.09965182095766068
40002,4,1,-0.8184372186660767,0.09179351478815079
40002,4,2,-2.9809086322784424,0.09047023952007294
40002,4,3,-0.8875688910484314,0.1065031960606575
40002,4,4,-0.8518133759498596,0.0957045927643776
40002,4,5,-0.7966511249542236,0.10059475153684616
40002,4,6,-0.7752628922462463,0.09522095322608948
40002,4,8,-0.7418461441993713,0.09845772385597229
40002,4,10,-0.7155184745788574,0.10067281126976013
40003,4,1,-0.7851921319961548,0.09341278672218323
40003,4,2,-2.132398843765259,0.1003684550523758
40003,4,3,-1.6934086084365845,0.09527694433927536
40003,4,4,-0.794461727142334,0.1057845875620842
40003,4,5,-0.7935099005699158,0.09389378875494003
40003,4,6,-0.7839168906211853,0.09990065544843674
40003,4,8,-0.7353227138519287,0.08223182708024979
40003,4,10,-0.7171880602836609,0.10601862519979477
40004,4,1,-0.7662787437438965,0.09439802914857864
40004,4,2,-200.06336975097656,0.1082151010632515
40004,4,3,-0.8773940205574036,0.0961589366197586
40004,4,4,-0.7915497422218323,0.10487741231918335
40004,4,5,-0.8043893575668335,0.10267872363328934
40004,4,6,-0.755713164806366,0.10260044783353806
40004,4,8,-0.7303931713104248,0.09651164710521698
40004,4,10,-0.7364674806594849,0.08390659093856812
40005,4,1,-0.7496163249015808,0.1012587770819664
40005,4,2,-34.249794006347656,0.09504558145999908
40005,4,3,-0.9303293228149414,0.09891431033611298
40005,4,4,-0.8167478442192078,0.09356053918600082
40005,4,5,-0.786838948726654,0.09190744906663895
40005,4,6,-0.7275036573410034,0.09959331154823303
40005,4,8,-0.7494288086891174,0.10724835842847824
40005,4,10,-0.7284541130065918,0.10017269849777222
40006,4,1,-0.7705894112586975,0.10419319570064545
40006,4,2,-2.617048740386963,0.1051943227648735
40006,4,3,-1.306560754776001,0.09903685003519058
40006,4,4,-0.847344160079956,0.10671057552099228
40006,4,5,-0.7580268979072571,0.10684534907341003
40006,4,6,-0.737590491771698,0.10054444521665573
40006,4,8,-0.7170705199241638,0.11095738410949707
40006,4,10,-0.7499889135360718,0.10099703818559647
40007,4,1,-0.7415798306465149,0.09793823957443237
40007,4,2,-5.424859523773193,0.10002538561820984
40007,4,3,-1.130419135093689,0.10552999377250671
40007,4,4,-0.8007273077964783,0.09370763599872589
40007,4,5,-0.7623336315155029,0.10089302808046341
40007,4,6,-0.7549504637718201,0.10290275514125824
40007,4,8,-0.7262388467788696,0.09931930154561996
40007,4,10,-0.7193411588668823,0.09460321813821793
40008,4,1,-0.8000717163085938,0.1098506972193718
40008,4,2,-19.780231475830078,0.09837938100099564
40008,4,3,-0.8558889031410217,0.10564018040895462
40008,4,4,-0.8395962715148926,0.09946399182081223
40008,4,5,-0.7891895771026611,0.10282011330127716
40008,4,6,-0.7840266227722168,0.10785771906375885
40008,4,8,-0.8153236508369446,0.09967648983001709
40008,4,10,-0.7234798669815063,0.08554643392562866
40009,4,1,-0.7696755528450012,0.10285507142543793
